2021-01-17 at 15:09:19 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='01d', description='clear sky', temperature=-6.72, pressure=1015.0, humidity=79.0, windSpeed=2.06}
2021-01-17 at 15:09:19 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='01d', description='clear sky', temperature=-6.72, pressure=1015.0, humidity=79.0, windSpeed=2.06}
2021-01-17 at 15:12:25 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='01d', description='clear sky', temperature=-6.72, pressure=1015.0, humidity=79.0, windSpeed=2.06}
2021-01-17 at 15:12:25 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='01d', description='clear sky', temperature=-6.72, pressure=1015.0, humidity=79.0, windSpeed=2.06}
2021-01-17 at 15:12:28 EET : WeatherInformation{longitude=26.0996, latitude=44.4446, iconId='02d', description='few clouds', temperature=-2.93, pressure=1016.0, humidity=63.0, windSpeed=2.57}
2021-01-17 at 15:16:35 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='02d', description='few clouds', temperature=-6.7, pressure=1015.0, humidity=79.0, windSpeed=1.54}
2021-01-17 at 15:16:35 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='02d', description='few clouds', temperature=-6.7, pressure=1015.0, humidity=79.0, windSpeed=1.54}
2021-01-17 at 15:16:38 EET : WeatherInformation{longitude=26.0996, latitude=44.4446, iconId='02d', description='few clouds', temperature=-2.93, pressure=1016.0, humidity=63.0, windSpeed=2.57}
2021-01-17 at 15:16:40 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='02d', description='few clouds', temperature=-6.7, pressure=1015.0, humidity=79.0, windSpeed=1.54}
2021-01-17 at 15:16:41 EET : WeatherInformation{longitude=26.0996, latitude=44.4446, iconId='02d', description='few clouds', temperature=-2.93, pressure=1016.0, humidity=63.0, windSpeed=2.57}
2021-01-17 at 15:16:42 EET : WeatherInformation{longitude=2.3522, latitude=48.8566, iconId='04d', description='broken clouds', temperature=7.09, pressure=1024.0, humidity=81.0, windSpeed=4.12}
2021-01-17 at 15:22:49 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='02d', description='few clouds', temperature=-6.7, pressure=1015.0, humidity=79.0, windSpeed=1.54}
2021-01-17 at 15:22:49 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='02d', description='few clouds', temperature=-6.7, pressure=1015.0, humidity=79.0, windSpeed=1.54}
2021-01-17 at 15:22:53 EET : WeatherInformation{longitude=26.0963, latitude=44.4397, iconId='01d', description='clear sky', temperature=-2.21, pressure=1016.0, humidity=63.0, windSpeed=2.57}
2021-01-17 at 15:22:55 EET : WeatherInformation{longitude=25.6012, latitude=45.658, iconId='04d', description='overcast clouds', temperature=-12.5, pressure=977.0, humidity=84.0, windSpeed=1.39}
2021-01-17 at 15:22:58 EET : WeatherInformation{longitude=24.15, latitude=45.8, iconId='03d', description='scattered clouds', temperature=-4.44, pressure=1014.0, humidity=68.0, windSpeed=0.51}
2021-01-17 at 15:23:02 EET : WeatherInformation{longitude=25.6012, latitude=45.658, iconId='04d', description='overcast clouds', temperature=-12.5, pressure=977.0, humidity=84.0, windSpeed=1.39}
2021-01-17 at 15:23:03 EET : WeatherInformation{longitude=26.0963, latitude=44.4397, iconId='01d', description='clear sky', temperature=-2.21, pressure=1016.0, humidity=63.0, windSpeed=2.57}
2021-01-17 at 15:26:55 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='02d', description='few clouds', temperature=-6.71, pressure=1015.0, humidity=79.0, windSpeed=1.54}
2021-01-17 at 15:26:55 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='02d', description='few clouds', temperature=-6.71, pressure=1015.0, humidity=79.0, windSpeed=1.54}
2021-01-17 at 15:26:58 EET : WeatherInformation{longitude=26.0963, latitude=44.4397, iconId='01d', description='clear sky', temperature=-2.21, pressure=1016.0, humidity=63.0, windSpeed=2.57}
2021-01-17 at 15:27:00 EET : WeatherInformation{longitude=25.6012, latitude=45.658, iconId='04d', description='overcast clouds', temperature=-12.5, pressure=977.0, humidity=84.0, windSpeed=1.39}
2021-01-17 at 15:27:02 EET : WeatherInformation{longitude=24.15, latitude=45.8, iconId='03d', description='scattered clouds', temperature=-4.44, pressure=1014.0, humidity=68.0, windSpeed=0.51}
2021-01-17 at 15:28:15 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='02d', description='few clouds', temperature=-6.71, pressure=1015.0, humidity=79.0, windSpeed=1.54}
2021-01-17 at 15:28:15 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='02d', description='few clouds', temperature=-6.71, pressure=1015.0, humidity=79.0, windSpeed=1.54}
2021-01-17 at 15:28:17 EET : WeatherInformation{longitude=26.0963, latitude=44.4397, iconId='01d', description='clear sky', temperature=-2.21, pressure=1016.0, humidity=63.0, windSpeed=2.57}
2021-01-17 at 15:28:19 EET : WeatherInformation{longitude=25.6012, latitude=45.658, iconId='04d', description='overcast clouds', temperature=-12.5, pressure=977.0, humidity=84.0, windSpeed=1.39}
2021-01-17 at 15:28:20 EET : WeatherInformation{longitude=24.15, latitude=45.8, iconId='03d', description='scattered clouds', temperature=-4.44, pressure=1014.0, humidity=68.0, windSpeed=0.51}
2021-01-17 at 15:28:22 EET : WeatherInformation{longitude=2.3514, latitude=48.857, iconId='04d', description='broken clouds', temperature=7.08, pressure=1024.0, humidity=81.0, windSpeed=4.63}
2021-01-17 at 15:28:32 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='02d', description='few clouds', temperature=-6.71, pressure=1015.0, humidity=79.0, windSpeed=1.54}
2021-01-17 at 15:28:35 EET : WeatherInformation{longitude=26.0963, latitude=44.4397, iconId='01d', description='clear sky', temperature=-2.21, pressure=1016.0, humidity=63.0, windSpeed=2.57}
2021-01-17 at 15:28:36 EET : WeatherInformation{longitude=25.6012, latitude=45.658, iconId='04d', description='overcast clouds', temperature=-12.5, pressure=977.0, humidity=84.0, windSpeed=1.39}
